 #                    time                    posx                    posy                    velx                    vely                  anal_y                   err_y
      0.00000000000000E+00    0.00000000000000E+00    0.00000000000000E+00    0.15000000000000E+02    0.25980762113533E+02    0.00000000000000E+00    0.00000000000000E+00
      0.10000000000000E+00    0.15000000000000E+01    0.25980762113533E+01    0.15000000000000E+02    0.25000762113533E+02    0.25490762113533E+01    0.19222650065055E-01
      0.20000000000000E+00    0.30000000000000E+01    0.50981524227066E+01    0.15000000000000E+02    0.24020762113533E+02    0.50001524227066E+01    0.19599402521204E-01
      0.30000000000000E+00    0.45000000000000E+01    0.75002286340599E+01    0.15000000000000E+02    0.23040762113533E+02    0.73532286340599E+01    0.19991218458664E-01
      0.40000000000000E+00    0.60000000000000E+01    0.98043048454133E+01    0.15000000000000E+02    0.22060762113533E+02    0.96083048454133E+01    0.20399019718194E-01
      0.50000000000000E+00    0.75000000000000E+01    0.12010381056767E+02    0.15000000000000E+02    0.21080762113533E+02    0.11765381056767E+02    0.20823804925476E-01
      0.60000000000000E+00    0.90000000000000E+01    0.14118457268120E+02    0.15000000000000E+02    0.20100762113533E+02    0.13824457268120E+02    0.21266657655920E-01
      0.70000000000000E+00    0.10500000000000E+02    0.16128533479473E+02    0.15000000000000E+02    0.19120762113533E+02    0.15785533479473E+02    0.21728755663914E-01
      0.80000000000000E+00    0.12000000000000E+02    0.18040609690827E+02    0.15000000000000E+02    0.18140762113533E+02    0.17648609690827E+02    0.22211381342053E-01
      0.90000000000000E+00    0.13500000000000E+02    0.19854685902180E+02    0.15000000000000E+02    0.17160762113533E+02    0.19413685902180E+02    0.22715933605915E-01
      0.10000000000000E+01    0.15000000000000E+02    0.21570762113533E+02    0.15000000000000E+02    0.16180762113533E+02    0.21080762113533E+02    0.23243941436322E-01
      0.11000000000000E+01    0.16500000000000E+02    0.23188838324886E+02    0.15000000000000E+02    0.15200762113533E+02    0.22649838324886E+02    0.23797079355210E-01
      0.12000000000000E+01    0.18000000000000E+02    0.24708914536240E+02    0.15000000000000E+02    0.14220762113533E+02    0.24120914536240E+02    0.24377185165039E-01
      0.13000000000000E+01    0.19500000000000E+02    0.26130990747593E+02    0.15000000000000E+02    0.13240762113533E+02    0.25493990747593E+02    0.24986280347659E-01
      0.14000000000000E+01    0.21000000000000E+02    0.27455066958946E+02    0.15000000000000E+02    0.12260762113533E+02    0.26769066958946E+02    0.25626593599697E-01
