 #                    time                    posx                    posy                    velx                    vely                  anal_y                   err_y
      0.00000000000000E+00    0.00000000000000E+00    0.00000000000000E+00    0.15000000000000E+02    0.25980762113533E+02    0.00000000000000E+00    0.00000000000000E+00
      0.10000000000000E-01    0.15000000000000E+00    0.25980762113533E+00    0.15000000000000E+02    0.25882762113533E+02    0.25931762113533E+00    0.18895746376767E-02
      0.20000000000000E-01    0.30000000000000E+00    0.51863524227066E+00    0.15000000000000E+02    0.25784762113533E+02    0.51765524227066E+00    0.18931518894724E-02
      0.30000000000000E-01    0.45000000000000E+00    0.77648286340599E+00    0.15000000000000E+02    0.25686762113533E+02    0.77501286340599E+00    0.18967427115208E-02
      0.40000000000000E-01    0.60000000000000E+00    0.10333504845413E+01    0.15000000000000E+02    0.25588762113533E+02    0.10313904845413E+01    0.19003471811860E-02
      0.50000000000000E-01    0.75000000000000E+00    0.12892381056767E+01    0.15000000000000E+02    0.25490762113533E+02    0.12867881056767E+01    0.19039653764220E-02
      0.60000000000000E-01    0.90000000000000E+00    0.15441457268120E+01    0.15000000000000E+02    0.25392762113533E+02    0.15412057268120E+01    0.19075973757777E-02
      0.70000000000000E-01    0.10500000000000E+01    0.17980733479473E+01    0.15000000000000E+02    0.25294762113533E+02    0.17946433479473E+01    0.19112432584020E-02
      0.80000000000000E-01    0.12000000000000E+01    0.20510209690827E+01    0.15000000000000E+02    0.25196762113533E+02    0.20471009690827E+01    0.19149031040499E-02
      0.90000000000000E-01    0.13500000000000E+01    0.23029885902180E+01    0.15000000000000E+02    0.25098762113533E+02    0.22985785902180E+01    0.19185769930896E-02
      0.10000000000000E+00    0.15000000000000E+01    0.25539762113533E+01    0.15000000000000E+02    0.25000762113533E+02    0.25490762113533E+01    0.19222650065055E-02
      0.11000000000000E+00    0.16500000000000E+01    0.28039838324886E+01    0.15000000000000E+02    0.24902762113533E+02    0.27985938324886E+01    0.19259672259076E-02
      0.12000000000000E+00    0.18000000000000E+01    0.30530114536240E+01    0.15000000000000E+02    0.24804762113533E+02    0.30471314536240E+01    0.19296837335349E-02
      0.13000000000000E+00    0.19500000000000E+01    0.33010590747593E+01    0.15000000000000E+02    0.24706762113533E+02    0.32946890747593E+01    0.19334146122624E-02
      0.14000000000000E+00    0.21000000000000E+01    0.35481266958946E+01    0.15000000000000E+02    0.24608762113533E+02    0.35412666958946E+01    0.19371599456074E-02
      0.15000000000000E+00    0.22500000000000E+01    0.37942143170300E+01    0.15000000000000E+02    0.24510762113533E+02    0.37868643170300E+01    0.19409198177361E-02
      0.16000000000000E+00    0.24000000000000E+01    0.40393219381653E+01    0.15000000000000E+02    0.24412762113533E+02    0.40314819381653E+01    0.19446943134684E-02
      0.17000000000000E+00    0.25500000000000E+01    0.42834495593006E+01    0.15000000000000E+02    0.24314762113533E+02    0.42751195593006E+01    0.19484835182861E-02
      0.18000000000000E+00    0.27000000000000E+01    0.45265971804360E+01    0.15000000000000E+02    0.24216762113533E+02    0.45177771804360E+01    0.19522875183386E-02
      0.19000000000000E+00    0.28500000000000E+01    0.47687648015713E+01    0.15000000000000E+02    0.24118762113533E+02    0.47594548015713E+01    0.19561064004487E-02
      0.20000000000000E+00    0.30000000000000E+01    0.50099524227066E+01    0.15000000000000E+02    0.24020762113533E+02    0.50001524227066E+01    0.19599402521204E-02
      0.21000000000000E+00    0.31500000000000E+01    0.52501600438420E+01    0.15000000000000E+02    0.23922762113533E+02    0.52398700438420E+01    0.19637891615448E-02
      0.22000000000000E+00    0.33000000000000E+01    0.54893876649773E+01    0.15000000000000E+02    0.23824762113533E+02    0.54786076649773E+01    0.19676532176073E-02
      0.23000000000000E+00    0.34500000000000E+01    0.57276352861126E+01    0.15000000000000E+02    0.23726762113533E+02    0.57163652861126E+01    0.19715325098940E-02
      0.24000000000000E+00    0.36000000000000E+01    0.59649029072480E+01    0.15000000000000E+02    0.23628762113533E+02    0.59531429072480E+01    0.19754271286990E-02
      0.25000000000000E+00    0.37500000000000E+01    0.62011905283833E+01    0.15000000000000E+02    0.23530762113533E+02    0.61889405283833E+01    0.19793371650318E-02
      0.26000000000000E+00    0.39000000000000E+01    0.64364981495186E+01    0.15000000000000E+02    0.23432762113533E+02    0.64237581495186E+01    0.19832627106231E-02
      0.27000000000000E+00    0.40500000000000E+01    0.66708257706540E+01    0.15000000000000E+02    0.23334762113533E+02    0.66575957706540E+01    0.19872038579330E-02
      0.28000000000000E+00    0.42000000000000E+01    0.69041733917893E+01    0.15000000000000E+02    0.23236762113533E+02    0.68904533917893E+01    0.19911607001581E-02
      0.29000000000000E+00    0.43500000000000E+01    0.71365410129246E+01    0.15000000000000E+02    0.23138762113533E+02    0.71223310129246E+01    0.19951333312387E-02
      0.30000000000000E+00    0.45000000000000E+01    0.73679286340600E+01    0.15000000000000E+02    0.23040762113533E+02    0.73532286340599E+01    0.19991218458667E-02
      0.31000000000000E+00    0.46500000000000E+01    0.75983362551953E+01    0.15000000000000E+02    0.22942762113533E+02    0.75831462551953E+01    0.20031263394921E-02
      0.32000000000000E+00    0.48000000000000E+01    0.78277638763306E+01    0.15000000000000E+02    0.22844762113533E+02    0.78120838763306E+01    0.20071469083314E-02
      0.33000000000000E+00    0.49500000000000E+01    0.80562114974659E+01    0.15000000000000E+02    0.22746762113533E+02    0.80400414974659E+01    0.20111836493753E-02
      0.34000000000000E+00    0.51000000000000E+01    0.82836791186013E+01    0.15000000000000E+02    0.22648762113533E+02    0.82670191186013E+01    0.20152366603962E-02
