 #                    time                    posx                    posy                    velx                    vely                  anal_y                   err_y
      0.00000000000000E+00    0.00000000000000E+00    0.00000000000000E+00    0.15000000000000E+02    0.25980762113533E+02    0.00000000000000E+00    0.00000000000000E+00
      0.10000000000000E+00    0.15000000000000E+01    0.25490762113533E+01    0.15000000000000E+02    0.25000762113533E+02    0.25490762113533E+01    0.00000000000000E+00
      0.20000000000000E+00    0.30000000000000E+01    0.50001524227066E+01    0.15000000000000E+02    0.24020762113533E+02    0.50001524227066E+01    0.00000000000000E+00
      0.30000000000000E+00    0.45000000000000E+01    0.73532286340599E+01    0.15000000000000E+02    0.23040762113533E+02    0.73532286340599E+01    0.00000000000000E+00
      0.40000000000000E+00    0.60000000000000E+01    0.96083048454133E+01    0.15000000000000E+02    0.22060762113533E+02    0.96083048454133E+01    0.00000000000000E+00
      0.50000000000000E+00    0.75000000000000E+01    0.11765381056767E+02    0.15000000000000E+02    0.21080762113533E+02    0.11765381056767E+02    0.00000000000000E+00
      0.60000000000000E+00    0.90000000000000E+01    0.13824457268120E+02    0.15000000000000E+02    0.20100762113533E+02    0.13824457268120E+02    0.00000000000000E+00
      0.70000000000000E+00    0.10500000000000E+02    0.15785533479473E+02    0.15000000000000E+02    0.19120762113533E+02    0.15785533479473E+02    0.00000000000000E+00
      0.80000000000000E+00    0.12000000000000E+02    0.17648609690827E+02    0.15000000000000E+02    0.18140762113533E+02    0.17648609690827E+02    0.00000000000000E+00
      0.90000000000000E+00    0.13500000000000E+02    0.19413685902180E+02    0.15000000000000E+02    0.17160762113533E+02    0.19413685902180E+02    0.18300047176521E-15
      0.10000000000000E+01    0.15000000000000E+02    0.21080762113533E+02    0.15000000000000E+02    0.16180762113533E+02    0.21080762113533E+02    0.00000000000000E+00
      0.11000000000000E+01    0.16500000000000E+02    0.22649838324886E+02    0.15000000000000E+02    0.15200762113533E+02    0.22649838324886E+02    0.00000000000000E+00
      0.12000000000000E+01    0.18000000000000E+02    0.24120914536240E+02    0.15000000000000E+02    0.14220762113533E+02    0.24120914536240E+02    0.00000000000000E+00
      0.13000000000000E+01    0.19500000000000E+02    0.25493990747593E+02    0.15000000000000E+02    0.13240762113533E+02    0.25493990747593E+02    0.41806483503991E-15
      0.14000000000000E+01    0.21000000000000E+02    0.26769066958946E+02    0.15000000000000E+02    0.12260762113533E+02    0.26769066958946E+02    0.26543425545978E-15
      0.15000000000000E+01    0.22500000000000E+02    0.27946143170300E+02    0.15000000000000E+02    0.11280762113533E+02    0.27946143170300E+02    0.12712715515521E-15
      0.16000000000000E+01    0.24000000000000E+02    0.29025219381653E+02    0.15000000000000E+02    0.10300762113533E+02    0.29025219381653E+02    0.24480184849498E-15
      0.17000000000000E+01    0.25500000000000E+02    0.30006295593006E+02    0.15000000000000E+02    0.93207621135331E+01    0.30006295593006E+02    0.35519682872436E-15
      0.18000000000000E+01    0.27000000000000E+02    0.30889371804360E+02    0.15000000000000E+02    0.83407621135331E+01    0.30889371804360E+02    0.34504233701824E-15
      0.19000000000000E+01    0.28500000000000E+02    0.31674448015713E+02    0.15000000000000E+02    0.73607621135331E+01    0.31674448015713E+02    0.33649019017203E-15
      0.20000000000000E+01    0.30000000000000E+02    0.32361524227066E+02    0.15000000000000E+02    0.63807621135331E+01    0.32361524227066E+02    0.43912810210949E-15
      0.21000000000000E+01    0.31500000000000E+02    0.32950600438420E+02    0.15000000000000E+02    0.54007621135331E+01    0.32950600438420E+02    0.21563878239124E-15
      0.22000000000000E+01    0.33000000000000E+02    0.33441676649773E+02    0.15000000000000E+02    0.44207621135331E+01    0.33441676649773E+02    0.21247222237134E-15
      0.23000000000000E+01    0.34500000000000E+02    0.33834752861126E+02    0.15000000000000E+02    0.34407621135331E+01    0.33834752861126E+02    0.00000000000000E+00
      0.24000000000000E+01    0.36000000000000E+02    0.34129829072480E+02    0.15000000000000E+02    0.24607621135331E+01    0.34129829072480E+02    0.41637638105433E-15
      0.25000000000000E+01    0.37500000000000E+02    0.34326905283833E+02    0.15000000000000E+02    0.14807621135331E+01    0.34326905283833E+02    0.20699294908322E-15
      0.26000000000000E+01    0.39000000000000E+02    0.34425981495186E+02    0.15000000000000E+02    0.50076211353315E+00    0.34425981495186E+02    0.20639723397849E-15
      0.27000000000000E+01    0.40500000000000E+02    0.34427057706540E+02    0.15000000000000E+02   -0.47923788646685E+00    0.34427057706540E+02    0.20639078187188E-15
      0.28000000000000E+01    0.42000000000000E+02    0.34330133917893E+02    0.15000000000000E+02   -0.14592378864669E+01    0.34330133917893E+02    0.20697348208996E-15
      0.29000000000000E+01    0.43500000000000E+02    0.34135210129246E+02    0.15000000000000E+02   -0.24392378864669E+01    0.34135210129246E+02    0.41631074369824E-15
      0.30000000000000E+01    0.45000000000000E+02    0.33842286340599E+02    0.15000000000000E+02   -0.34192378864669E+01    0.33842286340599E+02    0.20995707222880E-15
      0.31000000000000E+01    0.46500000000000E+02    0.33451362551953E+02    0.15000000000000E+02   -0.43992378864669E+01    0.33451362551953E+02    0.42482140131456E-15
      0.32000000000000E+01    0.48000000000000E+02    0.32962438763306E+02    0.15000000000000E+02   -0.53792378864669E+01    0.32962438763306E+02    0.21556133660568E-15
      0.33000000000000E+01    0.49500000000000E+02    0.32375514974659E+02    0.15000000000000E+02   -0.63592378864669E+01    0.32375514974659E+02    0.00000000000000E+00
      0.34000000000000E+01    0.51000000000000E+02    0.31690591186013E+02    0.15000000000000E+02   -0.73392378864669E+01    0.31690591186013E+02    0.00000000000000E+00
      0.35000000000000E+01    0.52500000000000E+02    0.30907667397366E+02    0.15000000000000E+02   -0.83192378864669E+01    0.30907667397366E+02    0.00000000000000E+00
