 #                    time                    posx                    posy                    velx                    vely                  anal_y                   err_y
      0.00000000000000E+00    0.00000000000000E+00    0.00000000000000E+00    0.15000000000000E+02    0.25980762113533E+02    0.00000000000000E+00    0.00000000000000E+00
      0.10000000000000E-02    0.15000000000000E-01    0.25975862113533E-01    0.15000000000000E+02    0.25970962113533E+02    0.25975862113533E-01    0.13356426580914E-15
      0.20000000000000E-02    0.30000000000000E-01    0.51941924227066E-01    0.15000000000000E+02    0.25961162113533E+02    0.51941924227066E-01    0.00000000000000E+00
      0.30000000000000E-02    0.45000000000000E-01    0.77898186340599E-01    0.15000000000000E+02    0.25951362113533E+02    0.77898186340599E-01    0.17815290008339E-15
      0.40000000000000E-02    0.60000000000000E-01    0.10384464845413E+00    0.15000000000000E+02    0.25941562113533E+02    0.10384464845413E+00    0.13363989396087E-15
      0.50000000000000E-02    0.75000000000000E-01    0.12978131056767E+00    0.15000000000000E+02    0.25931762113533E+02    0.12978131056767E+00    0.00000000000000E+00
      0.60000000000000E-02    0.90000000000000E-01    0.15570817268120E+00    0.15000000000000E+02    0.25921962113533E+02    0.15570817268120E+00    0.17825381377030E-15
      0.70000000000000E-02    0.10500000000000E+00    0.18162523479473E+00    0.15000000000000E+02    0.25912162113533E+02    0.18162523479473E+00    0.15281783749377E-15
      0.80000000000000E-02    0.12000000000000E+00    0.20753249690827E+00    0.15000000000000E+02    0.25902362113533E+02    0.20753249690827E+00    0.26748172964832E-15
      0.90000000000000E-02    0.13500000000000E+00    0.23342995902180E+00    0.15000000000000E+02    0.25892562113533E+02    0.23342995902180E+00    0.11890322789731E-15
      0.10000000000000E-01    0.15000000000000E+00    0.25931762113533E+00    0.15000000000000E+02    0.25882762113533E+02    0.25931762113533E+00    0.00000000000000E+00
      0.11000000000000E-01    0.16500000000000E+00    0.28519548324886E+00    0.15000000000000E+02    0.25872962113533E+02    0.28519548324886E+00    0.00000000000000E+00
      0.12000000000000E-01    0.18000000000000E+00    0.31106354536240E+00    0.15000000000000E+02    0.25863162113533E+02    0.31106354536240E+00    0.17845598450499E-15
      0.13000000000000E-01    0.19500000000000E+00    0.33692180747593E+00    0.15000000000000E+02    0.25853362113533E+02    0.33692180747593E+00    0.16475974543507E-15
