 # Tag              Time [sec]                Mass [g]             posx [code]             posy [code]             velx [code]             vely [code]             accx [code]             accy [code]
     2      0.315360000000E+03      0.397800000000E+34      0.149598000000E+14     -0.313142533688E+09      0.207850813232E+02     -0.992968460453E+06     -0.659090604691E-01      0.137962607711E-05
     2      0.631035360000E+06      0.397800000000E+34      0.149467120214E+14     -0.626415284260E+12     -0.415371841329E+05     -0.992097996348E+06     -0.658511191506E-01      0.275981739011E-02
     2      0.126175536000E+07      0.397800000000E+34      0.149074317620E+14     -0.125142025841E+13     -0.830222249172E+05     -0.989489005423E+06     -0.656777821401E-01      0.551340439800E-02
     2      0.189247536000E+07      0.397800000000E+34      0.148420281438E+14     -0.187423282535E+13     -0.124361640250E+06     -0.985146068768E+06     -0.653893539013E-01      0.825731532927E-02
     2      0.252319536000E+07      0.397800000000E+34      0.147506158660E+14     -0.249376159314E+13     -0.165482988752E+06     -0.979076805994E+06     -0.649863405859E-01      0.109867418331E-01
     2      0.315391536000E+07      0.397800000000E+34      0.146333552044E+14     -0.310892093007E+13     -0.206314211631E+06     -0.971291861875E+06     -0.644694491480E-01      0.136969009552E-01
     2      0.378463536000E+07      0.397800000000E+34      0.144904517295E+14     -0.371863286706E+13     -0.246783758965E+06     -0.961804887679E+06     -0.638395861075E-01      0.163830435204E-01
     2      0.441535536000E+07      0.397800000000E+34      0.143221559470E+14     -0.432182898669E+13     -0.286820715086E+06     -0.950632517239E+06     -0.630978559623E-01      0.190404624568E-01
     2      0.504607536000E+07      0.397800000000E+34      0.141287628575E+14     -0.491745229540E+13     -0.326354922861E+06     -0.937794337793E+06     -0.622455592553E-01      0.216645010458E-01
     2      0.567679536000E+07      0.397800000000E+34      0.139106114398E+14     -0.550445907574E+13     -0.365317106639E+06     -0.923312855646E+06     -0.612841902955E-01      0.242505610845E-01
     2      0.630751536000E+07      0.397800000000E+34      0.136680840565E+14     -0.608182071528E+13     -0.403638993656E+06     -0.907213456719E+06     -0.602154345409E-01      0.267941109458E-01
     2      0.693823536000E+07      0.397800000000E+34      0.134016057836E+14     -0.664852550915E+13     -0.441253433685E+06     -0.889524362043E+06     -0.590411656456E-01      0.292906935221E-01
     2      0.756895536000E+07      0.397800000000E+34      0.131116436654E+14     -0.720358043277E+13     -0.478094516715E+06     -0.870276578296E+06     -0.577634421766E-01      0.317359340386E-01
     2      0.819967536000E+07      0.397800000000E+34      0.127987058954E+14     -0.774601288202E+13     -0.514097688462E+06     -0.849503843440E+06     -0.563845040065E-01      0.341255477222E-01
     2      0.883039536000E+07      0.397800000000E+34      0.124633409258E+14     -0.827487237746E+13     -0.549199863498E+06     -0.827242567585E+06     -0.549067683884E-01      0.364553473131E-01
     2      0.946111536000E+07      0.397800000000E+34      0.121061365060E+14     -0.878923222988E+13     -0.583339535811E+06     -0.803531769162E+06     -0.533328257189E-01      0.387212504057E-01
     2      0.100918353600E+08      0.397800000000E+34      0.117277186523E+14     -0.928819116407E+13     -0.616456886597E+06     -0.778413006519E+06     -0.516654349981E-01      0.409192866058E-01
     2      0.107225553600E+08      0.397800000000E+34      0.113287505503E+14     -0.977087489806E+13     -0.648493889088E+06     -0.751930305072E+06     -0.499075189931E-01      0.430456044909E-01
     2      0.113532753600E+08      0.397800000000E+34      0.109099313926E+14     -0.102364376751E+14     -0.679394410244E+06     -0.724130080128E+06     -0.480621591145E-01      0.450964783631E-01
     2      0.119839953600E+08      0.397800000000E+34      0.104719951535E+14     -0.106840637454E+14     -0.709104309128E+06     -0.695061055514E+06     -0.461325900147E-01      0.470683147808E-01
     2      0.126147153600E+08      0.397800000000E+34      0.100157093019E+14     -0.111129687958E+14     -0.737571531783E+06     -0.664774178167E+06     -0.441221939166E-01      0.489576588589E-01
     2      0.132454353600E+08      0.397800000000E+34      0.954187345614E+13     -0.115224013237E+14     -0.764746202448E+06     -0.633322528815E+06     -0.420344946838E-01      0.507612003257E-01
     2      0.138761553600E+08      0.397800000000E+34      0.905131798292E+13     -0.119116439536E+14     -0.790580710965E+06     -0.600761228929E+06     -0.398731516425E-01      0.524757793270E-01
     2      0.145068753600E+08      0.397800000000E+34      0.854490254127E+13     -0.122800146944E+14     -0.815029796205E+06     -0.567147344090E+06     -0.376419531646E-01      0.540983919655E-01
     2      0.151375953600E+08      0.397800000000E+34      0.802351457599E+13     -0.126268681339E+14     -0.838050625377E+06     -0.532539783946E+06     -0.353448100255E-01      0.556261955672E-01
     2      0.157683153600E+08      0.397800000000E+34      0.748806776217E+13     -0.129515965698E+14     -0.859602869080E+06     -0.496999198943E+06     -0.329857485463E-01      0.570565136648E-01
     2      0.163990353600E+08      0.397800000000E+34      0.693950040366E+13     -0.132536310737E+14     -0.879648771966E+06     -0.460587874001E+06     -0.305689035334E-01      0.583868406896E-01
     2      0.170297553600E+08      0.397800000000E+34      0.637877378856E+13     -0.135324424886E+14     -0.898153218889E+06     -0.423369619322E+06     -0.280985110279E-01      0.596148463636E-01
     2      0.176604753600E+08      0.397800000000E+34      0.580687050430E+13     -0.137875423550E+14     -0.915083796418E+06     -0.385409658528E+06     -0.255789008769E-01      0.607383797837E-01
     2      0.182911953600E+08      0.397800000000E+34      0.522479271548E+13     -0.140184837669E+14     -0.930410849623E+06     -0.346774514321E+06     -0.230144891408E-01      0.617554731919E-01
     2      0.189219153600E+08      0.397800000000E+34      0.463356040742E+13     -0.142248621544E+14     -0.944107534017E+06     -0.307531891864E+06     -0.204097703486E-01      0.626643454230E-01
     2      0.195526353600E+08      0.397800000000E+34      0.403420959844E+13     -0.144063159922E+14     -0.956149862566E+06     -0.267750560096E+06     -0.177693096161E-01      0.634634050262E-01
