 #                    time                    posx                    posy                    velx                    vely                  anal_y                   err_y
      0.00000000000000E+00    0.00000000000000E+00    0.00000000000000E+00    0.28766914571518E+02    0.85126156987713E+01    0.00000000000000E+00    0.00000000000000E+00
      0.10000000000000E-01    0.28766914571518E+00    0.84636156987713E-01    0.28766914571518E+02    0.84146156987713E+01    0.84636156987713E-01    0.00000000000000E+00
      0.20000000000000E-01    0.57533829143037E+00    0.16829231397543E+00    0.28766914571518E+02    0.83166156987713E+01    0.16829231397543E+00    0.00000000000000E+00
      0.30000000000000E-01    0.86300743714555E+00    0.25096847096314E+00    0.28766914571518E+02    0.82186156987713E+01    0.25096847096314E+00    0.00000000000000E+00
      0.40000000000000E-01    0.11506765828607E+01    0.33266462795085E+00    0.28766914571518E+02    0.81206156987713E+01    0.33266462795085E+00    0.16686821070576E-15
      0.50000000000000E-01    0.14383457285759E+01    0.41338078493857E+00    0.28766914571518E+02    0.80226156987713E+01    0.41338078493857E+00    0.26857151204794E-15
      0.60000000000000E-01    0.17260148742911E+01    0.49311694192628E+00    0.28766914571518E+02    0.79246156987713E+01    0.49311694192628E+00    0.22514396286776E-15
      0.70000000000000E-01    0.20136840200063E+01    0.57187309891399E+00    0.28766914571518E+02    0.78266156987713E+01    0.57187309891399E+00    0.38827600974185E-15
      0.80000000000000E-01    0.23013531657215E+01    0.64964925590171E+00    0.28766914571518E+02    0.77286156987713E+01    0.64964925590171E+00    0.00000000000000E+00
      0.90000000000000E-01    0.25890223114366E+01    0.72644541288942E+00    0.28766914571518E+02    0.76306156987713E+01    0.72644541288942E+00    0.15282951821655E-15
      0.10000000000000E+00    0.28766914571518E+01    0.80226156987713E+00    0.28766914571518E+02    0.75326156987713E+01    0.80226156987713E+00    0.00000000000000E+00
      0.11000000000000E+00    0.31643606028670E+01    0.87709772686485E+00    0.28766914571518E+02    0.74346156987713E+01    0.87709772686485E+00    0.12657917021329E-15
      0.12000000000000E+00    0.34520297485822E+01    0.95095388385256E+00    0.28766914571518E+02    0.73366156987713E+01    0.95095388385256E+00    0.00000000000000E+00
      0.13000000000000E+00    0.37396988942974E+01    0.10238300408403E+01    0.28766914571518E+02    0.72386156987713E+01    0.10238300408403E+01    0.00000000000000E+00
      0.14000000000000E+00    0.40273680400126E+01    0.10957261978280E+01    0.28766914571518E+02    0.71406156987713E+01    0.10957261978280E+01    0.20264606738908E-15
      0.15000000000000E+00    0.43150371857277E+01    0.11666423548157E+01    0.28766914571518E+02    0.70426156987713E+01    0.11666423548157E+01    0.38065582654096E-15
      0.16000000000000E+00    0.46027063314429E+01    0.12365785118034E+01    0.28766914571518E+02    0.69446156987713E+01    0.12365785118034E+01    0.35912738706935E-15
      0.17000000000000E+00    0.48903754771581E+01    0.13055346687911E+01    0.28766914571518E+02    0.68466156987713E+01    0.13055346687911E+01    0.34015887932051E-15
      0.18000000000000E+00    0.51780446228733E+01    0.13735108257788E+01    0.28766914571518E+02    0.67486156987713E+01    0.13735108257788E+01    0.48498621363058E-15
      0.19000000000000E+00    0.54657137685885E+01    0.14405069827666E+01    0.28766914571518E+02    0.66506156987713E+01    0.14405069827666E+01    0.46243011852380E-15
      0.20000000000000E+00    0.57533829143037E+01    0.15065231397543E+01    0.28766914571518E+02    0.65526156987713E+01    0.15065231397543E+01    0.29477755643534E-15
      0.21000000000000E+00    0.60410520600188E+01    0.15715592967420E+01    0.28766914571518E+02    0.64546156987713E+01    0.15715592967420E+01    0.42386807558332E-15
      0.22000000000000E+00    0.63287212057340E+01    0.16356154537297E+01    0.28766914571518E+02    0.63566156987713E+01    0.16356154537297E+01    0.27151199191559E-15
      0.23000000000000E+00    0.66163903514492E+01    0.16986916107174E+01    0.28766914571518E+02    0.62586156987713E+01    0.16986916107174E+01    0.52286030854360E-15
      0.24000000000000E+00    0.69040594971644E+01    0.17607877677051E+01    0.28766914571518E+02    0.61606156987713E+01    0.17607877677051E+01    0.37831578966685E-15
      0.25000000000000E+00    0.71917286428796E+01    0.18219039246928E+01    0.28766914571518E+02    0.60626156987713E+01    0.18219039246928E+01    0.48750014073869E-15
      0.26000000000000E+00    0.74793977885948E+01    0.18820400816805E+01    0.28766914571518E+02    0.59646156987713E+01    0.18820400816805E+01    0.47192322222332E-15
      0.27000000000000E+00    0.77670669343099E+01    0.19411962386683E+01    0.28766914571518E+02    0.58666156987713E+01    0.19411962386683E+01    0.45754179923069E-15
      0.28000000000000E+00    0.80547360800251E+01    0.19993723956560E+01    0.28766914571518E+02    0.57686156987713E+01    0.19993723956560E+01    0.66634291462901E-15
      0.29000000000000E+00    0.83424052257403E+01    0.20565685526437E+01    0.28766914571518E+02    0.56706156987713E+01    0.20565685526437E+01    0.64781095083730E-15
      0.30000000000000E+00    0.86300743714555E+01    0.21127847096314E+01    0.28766914571518E+02    0.55726156987713E+01    0.21127847096314E+01    0.63057424804187E-15
      0.31000000000000E+00    0.89177435171707E+01    0.21680208666191E+01    0.28766914571518E+02    0.54746156987713E+01    0.21680208666191E+01    0.61450867473788E-15
      0.32000000000000E+00    0.92054126628859E+01    0.22222770236068E+01    0.28766914571518E+02    0.53766156987713E+01    0.22222770236068E+01    0.59950564911474E-15
      0.33000000000000E+00    0.94930818086010E+01    0.22755531805945E+01    0.28766914571518E+02    0.52786156987713E+01    0.22755531805945E+01    0.58546978418764E-15
      0.34000000000000E+00    0.97807509543162E+01    0.23278493375823E+01    0.28766914571518E+02    0.51806156987713E+01    0.23278493375823E+01    0.76308926472244E-15
      0.35000000000000E+00    0.10068420100031E+02    0.23791654945700E+01    0.28766914571518E+02    0.50826156987713E+01    0.23791654945700E+01    0.74663021275925E-15
      0.36000000000000E+00    0.10356089245747E+02    0.24295016515577E+01    0.28766914571518E+02    0.49846156987713E+01    0.24295016515577E+01    0.73116099273336E-15
      0.37000000000000E+00    0.10643758391462E+02    0.24788578085454E+01    0.28766914571518E+02    0.48866156987713E+01    0.24788578085454E+01    0.53745221890398E-15
      0.38000000000000E+00    0.10931427537177E+02    0.25272339655331E+01    0.28766914571518E+02    0.47886156987713E+01    0.25272339655331E+01    0.52716434161613E-15
      0.39000000000000E+00    0.11219096682892E+02    0.25746301225208E+01    0.28766914571518E+02    0.46906156987713E+01    0.25746301225208E+01    0.51745981603205E-15
      0.40000000000000E+00    0.11506765828607E+02    0.26210462795085E+01    0.28766914571518E+02    0.45926156987713E+01    0.26210462795085E+01    0.67772814745314E-15
      0.41000000000000E+00    0.11794434974323E+02    0.26664824364962E+01    0.28766914571518E+02    0.44946156987713E+01    0.26664824364962E+01    0.49963487901341E-15
      0.42000000000000E+00    0.12082104120038E+02    0.27109385934840E+01    0.28766914571518E+02    0.43966156987713E+01    0.27109385934840E+01    0.49144146339295E-15
      0.43000000000000E+00    0.12369773265753E+02    0.27544147504717E+01    0.28766914571518E+02    0.42986156987713E+01    0.27544147504717E+01    0.48368446666285E-15
      0.44000000000000E+00    0.12657442411468E+02    0.27969109074594E+01    0.28766914571518E+02    0.42006156987713E+01    0.27969109074594E+01    0.47633538343929E-15
      0.45000000000000E+00    0.12945111557183E+02    0.28384270644471E+01    0.28766914571518E+02    0.41026156987713E+01    0.28384270644471E+01    0.46936828014276E-15
      0.46000000000000E+00    0.13232780702898E+02    0.28789632214348E+01    0.28766914571518E+02    0.40046156987713E+01    0.28789632214348E+01    0.61701268921211E-15
      0.47000000000000E+00    0.13520449848614E+02    0.29185193784225E+01    0.28766914571518E+02    0.39066156987713E+01    0.29185193784225E+01    0.45648750506851E-15
      0.48000000000000E+00    0.13808118994329E+02    0.29570955354102E+01    0.28766914571518E+02    0.38086156987713E+01    0.29570955354102E+01    0.45053249500962E-15
      0.49000000000000E+00    0.14095788140044E+02    0.29946916923980E+01    0.28766914571518E+02    0.37106156987713E+01    0.29946916923980E+01    0.74146065015204E-15
      0.50000000000000E+00    0.14383457285759E+02    0.30313078493857E+01    0.28766914571518E+02    0.36126156987713E+01    0.30313078493857E+01    0.29300172197295E-15
      0.51000000000000E+00    0.14671126431474E+02    0.30669440063734E+01    0.28766914571518E+02    0.35146156987713E+01    0.30669440063734E+01    0.43439581119891E-15
      0.52000000000000E+00    0.14958795577190E+02    0.31016001633611E+01    0.28766914571518E+02    0.34166156987713E+01    0.31016001633611E+01    0.28636135314671E-15
      0.53000000000000E+00    0.15246464722905E+02    0.31352763203488E+01    0.28766914571518E+02    0.33186156987713E+01    0.31352763203488E+01    0.14164276589205E-15
      0.54000000000000E+00    0.15534133868620E+02    0.31679724773365E+01    0.28766914571518E+02    0.32206156987713E+01    0.31679724773365E+01    0.00000000000000E+00
      0.55000000000000E+00    0.15821803014335E+02    0.31996886343242E+01    0.28766914571518E+02    0.31226156987713E+01    0.31996886343242E+01    0.41637414817756E-15
      0.56000000000000E+00    0.16109472160050E+02    0.32304247913119E+01    0.28766914571518E+02    0.30246156987713E+01    0.32304247913119E+01    0.27494168014338E-15
      0.57000000000000E+00    0.16397141305765E+02    0.32601809482997E+01    0.28766914571518E+02    0.29266156987713E+01    0.32601809482997E+01    0.40864836973084E-15
      0.58000000000000E+00    0.16684810451481E+02    0.32889571052874E+01    0.28766914571518E+02    0.28286156987713E+01    0.32889571052874E+01    0.27004864802654E-15
      0.59000000000000E+00    0.16972479597196E+02    0.33167532622751E+01    0.28766914571518E+02    0.27306156987713E+01    0.33167532622751E+01    0.26778549667903E-15
      0.60000000000000E+00    0.17260148742911E+02    0.33435694192628E+01    0.28766914571518E+02    0.26326156987713E+01    0.33435694192628E+01    0.26563779851054E-15
      0.61000000000000E+00    0.17547817888626E+02    0.33694055762505E+01    0.28766914571518E+02    0.25346156987713E+01    0.33694055762505E+01    0.26360092295226E-15
